handle_lower,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness,outrage_index,z_avg_anger,z_avg_disgust,z_pct_negative,z_sentiment_std,partisanship_score,is_R
reppatfallon,Pat Fallon,Q2,R,2.19,1447,-0.4962351807826292,0.5271454336186897,0.7097442985487215,0.0912232204561161,0.4920525224602626,0.1702420428032348,0.24836305377203352,0.046672203853595925,0.11752062222132761,0.06608264677003844,0.2877626650245624,1.3136663559521993,2.5885941100086214,3.237485337956948,-1.5799840044157025,1.3899404498755166,1
reppatryanny,Patrick Ryan,Q3,D,9.55,1089,0.5151524419517447,0.6178339809552129,0.13682277318640956,0.7070707070707071,0.6198347107438017,0.07196584614925938,0.13326522299117183,0.43341993330451367,0.01934701444161987,0.07479232232459655,0.09131286059087926,-0.8149407463993129,-0.7326102966915334,-0.8255059488441323,-0.45518881180400245,-0.7070614509347453,0
reppaultonko,Paul Tonko,Q3,D,9.19,984,0.5463203033962385,0.5781138538950774,0.10873983739837398,0.7032520325203252,0.6128048780487805,0.05029013401520391,0.1465376961901282,0.4410657106842055,0.020876197538311225,0.060967761992509494,0.07116633155351514,-1.284424470515441,-0.6808781687373596,-1.024661886199473,-0.9478310392881496,-0.9844488911851058,0
reppeteaguilar,Pete Aguilar,Q2,D,3.85,377,0.40927117272460495,0.6960589594649488,0.21485411140583555,0.6286472148541115,0.6339522546419099,0.09437993993171775,0.18961077091147915,0.4085315276233452,0.019715253246265024,0.07738375152394526,0.11409519317798278,-0.32946409139504346,-0.7201528107300338,-0.272130602923133,0.5150227788989089,-0.2016811815373253,0
reppetestauber,Pete Stauber,Q3,R,10.88,798,0.29941311695223166,0.7496593379705342,0.2744360902255639,0.5614035087719298,0.6428571428571429,0.10347265482494747,0.14675158046421277,0.397756458070707,0.045286215369708185,0.07221711274787293,0.14875887019465567,-0.1325210048658273,0.14491056025770604,0.15040730162118027,1.1798194906769734,0.3356540869225081,1
reppettersen,Brittany Pettersen,Q3,D,8.19,825,0.41294079144795737,0.6434850899658154,0.15636363636363637,0.6060606060606061,0.576969696969697,0.06281911252108821,0.19763190643837192,0.38700180725303873,0.01244502754814946,0.07798300675934909,0.07526414006923768,-1.0130538483215878,-0.966103898526127,-0.6869278830690052,-0.13704230987338156,-0.7007819849475254,0
reppfluger,August Pfluger,Q3,R,9.26,907,0.053319396034228105,0.7494647159783572,0.38257993384785005,0.40683572216097025,0.5314222712238148,0.12607007632966435,0.19258360979808908,0.24457702743858706,0.07175723698675318,0.07952668619444311,0.19782731331641754,0.35692642541204567,1.0404228637441921,0.917331696861281,1.1774056259982848,0.873021653003951,1
reppressley,Ayanna Pressley,Q4 (highest),D,27.96,1439,0.1716702460538521,0.7151324606454196,0.2925642807505212,0.4739402362751911,0.5010423905489924,0.19077663285743676,0.3318310948145597,0.2620975132872638,0.027272810568677665,0.06849343647820032,0.21804944342611443,1.7584340181273197,-0.4644813196770785,0.27896710761169985,0.7515882887031112,0.581127023691263,0
repralphnorman,Ralph Norman,Q3,R,7.55,814,-0.17440125346183777,0.7082619878337554,0.4987714987714988,0.26044226044226043,0.5036855036855037,0.15196454944918547,0.15180606509547984,0.16807922154292576,0.08954312150416548,0.07696385764464256,0.24150767095335096,0.9177861378400125,1.642117752749784,1.7413281693031624,0.6663749401988838,1.2419017500229605,1
reprashida,Rashida Tlaib,Q4 (highest),D,31.82,1028,0.07308035828028207,0.7510154128840507,0.36770428015564205,0.4173151750972763,0.5496108949416343,0.16715022700407053,0.1777407802206929,0.24846988402847547,0.0947076685387107,0.07228803851178314,0.2618578955427812,1.2466993660468422,1.8168339189136111,0.8118379273634606,1.1966386656262058,1.2680024694875298,0
repraskin,Jamie Raskin,Q4 (highest),D,36.23,914,0.2112845632714307,0.7506025645093964,0.3238512035010941,0.5153172866520788,0.5667396061269147,0.12266084860996425,0.20680346029819646,0.28932742551759444,0.05783504360549415,0.09067226097604696,0.1804958922154584,0.2830844719709858,0.5694363017292369,0.5008447800311593,1.191518174883692,0.6362209321537685,0
repraulgrijalva,Raúl M. Grijalva,Q4 (highest),D,30.0,572,-0.004622969229321381,0.7056191829417127,0.3723776223776224,0.34965034965034963,0.47202797202797203,0.16776262466574715,0.26851422836910643,0.1810928191580069,0.06384201893967391,0.08732841463042727,0.23160464360542105,1.259963554695677,0.7726517422332034,0.8449798986240762,0.6335966641664132,0.8777979649298424,0
repraulruizmd,Raul Ruiz,Q3,D,6.61,692,0.5657165704262739,0.5478041592762862,0.07947976878612717,0.7138728323699421,0.6069364161849711,0.05263189930701624,0.23713635087518015,0.4221081074470731,0.012404815507753209,0.0655017101525186,0.06503671481476946,-1.233703152414957,-0.9674642682709785,-1.2321657040174183,-1.3237572151727093,-1.1892725849690158,0
