handle,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness
RepLoriTrahan,Lori Trahan,Q1 (lowest),D,0.0,2063,0.3167151692736455,0.7337400575696796,0.26030053320407176,0.5855550169655841,0.6214251090644692,0.11563125283430135,0.21783838154454305,0.32556277962945884,0.042019077343319514,0.06760152777803853
MikeKellyPA,Mike Kelly,Q1 (lowest),R,1.46,704,0.32950435316359455,0.6667862740550845,0.20454545454545456,0.5411931818181818,0.5142045454545454,0.09841838355631886,0.2259206169223117,0.34966202658485845,0.020197939342551714,0.06920273483642214
RepBalderson,Troy Balderson,Q1 (lowest),R,1.62,542,0.3348125035142547,0.7201484759807847,0.24354243542435425,0.5922509225092251,0.6217712177121771,0.10097172805383055,0.2159649566932503,0.3534530187070235,0.034953663734049185,0.0613528958661825
RepCarolMiller,Carol D. Miller,Q1 (lowest),R,0.43,848,0.34118870399751755,0.6883829268152444,0.2099056603773585,0.5695754716981132,0.5542452830188679,0.1213637770266565,0.18640306066914006,0.4274815502534316,0.01939011954160579,0.07388917629728924
RepKamlagerDove,Sydney Kamlager-Dove,Q1 (lowest),D,1.07,825,0.3416494372757998,0.6882920226846156,0.21575757575757576,0.5721212121212121,0.5672727272727273,0.0988890956078345,0.2219123540753075,0.3393524318521447,0.029999012251042317,0.09412701582945314
USRepMikeFlood,Mike Flood,Q1 (lowest),R,1.53,1331,0.3489273084365363,0.6353107629233168,0.1622839969947408,0.5341848234410218,0.5041322314049587,0.08645250984465112,0.17979851154726226,0.29746675458927385,0.032984417999711364,0.0497769047649595
RepGregoryMeeks,Gregory W. Meeks,Q1 (lowest),D,0.22,614,0.35370700570970093,0.6980430591502961,0.21661237785016288,0.5993485342019544,0.5944625407166124,0.09825478999919848,0.2699383508660227,0.3489691131156323,0.01826733995382294,0.07565090271070934
RepVinceFong,Vince Fong,Q1 (lowest),R,1.45,104,0.3548854188277171,0.6570380974687454,0.16346153846153846,0.5288461538461539,0.5384615384615384,0.08638341729797848,0.0844911889250327,0.3773605446745373,0.026092667082523828,0.0536763491422439
RepDaveJoyce,David P. Joyce,Q1 (lowest),R,1.34,681,0.3561171228052411,0.6661459666730396,0.19970631424375918,0.580029368575624,0.5256975036710719,0.0685009759859005,0.2317839811433215,0.3423478435876262,0.030085101616956867,0.0913696128567482
RepJimmyGomez,Jimmy Gomez,Q1 (lowest),D,1.03,1937,0.35987569175556755,0.7025314924697149,0.21734641197728446,0.5967991739803821,0.6076406814661848,0.12063549698398252,0.25880104813569516,0.35294347274363647,0.02406907711516367,0.05877364391088265
