screen_name,followers,following,tweets_count,verified,created_at
RepMarkGreen,121180,1187,13693,True,Wed Jan 02 14:53:54 +0000 2019
RepMikeLevin,32799,905,7977,True,Mon Dec 10 14:21:12 +0000 2018
RepEricSorensen,6834,419,1898,True,Fri Jan 06 19:17:35 +0000 2023
RepRussFulcher,20714,917,3386,True,Fri Dec 28 19:58:05 +0000 2018
RepPatRyanNY,13090,463,3289,True,Mon Sep 12 19:02:51 +0000 2022
RepJillTokuda,4623,578,1362,True,Wed Jan 04 20:12:46 +0000 2023
KenCalvert,28320,463,9744,True,Mon Mar 02 22:30:20 +0000 2009
RepRaulRuizMD,29815,458,6851,True,Mon Jan 14 18:58:43 +0000 2013
RepWalberg,25201,1700,8181,True,Thu Jan 13 20:26:26 +0000 2011
RepMcGarvey,12682,171,2493,True,Tue Jan 03 15:41:44 +0000 2023
RepDeborahRoss,13591,1016,5304,True,Mon Jan 11 17:28:59 +0000 2021
RepDonBeyer,124207,4880,45322,True,Mon Jan 05 22:09:04 +0000 2015
RepJoeWilson,206289,1165,6051,True,Fri Feb 18 15:18:45 +0000 2011
RepMikeLawler,37288,720,6218,True,Wed Nov 09 15:55:02 +0000 2022
RepRoKhanna,173649,2659,15659,True,Tue Jan 03 15:03:23 +0000 2017
RepBonamici,34959,1282,14905,True,Fri Apr 20 16:30:32 +0000 2012
RepChrisPappas,17739,639,5769,True,Wed Nov 28 11:54:50 +0000 2018
RepMMM,28862,495,6718,True,Sun Jan 03 19:03:30 +0000 2021
RepTonyGonzales,28277,779,5708,True,Mon Dec 28 18:39:06 +0000 2020
RepAndyBarr,38999,1531,8181,True,Mon Jan 14 15:29:49 +0000 2013
RepHankJohnson,53712,1748,10460,True,Mon Mar 16 18:52:49 +0000 2009
RepHoulahan,40536,484,7150,True,Thu Oct 18 12:18:11 +0000 2018
RepHuffman,46984,1249,7001,True,Tue Jan 08 14:52:00 +0000 2013
GOPMajorityWhip,133711,1267,13494,True,Wed Dec 10 21:44:52 +0000 2014
RepDanBishop,138771,766,7348,True,Tue Sep 24 15:43:47 +0000 2019
RepJerryNadler,410420,2091,12156,True,Fri May 15 18:37:39 +0000 2009
RepBentz,9928,602,1391,True,Sun Jan 03 17:47:44 +0000 2021
ZachNunn,9104,254,4019,True,Tue Jan 03 17:15:12 +0000 2023
RepMariaSalazar,202376,521,5932,True,Mon Nov 09 22:29:20 +0000 2020
RepBenCline,53028,1072,5011,True,Mon Dec 10 15:57:26 +0000 2018
SteveScalise,705124,1206,15998,True,Fri Feb 22 18:10:47 +0000 2013
RepBera,47341,2429,8091,True,Fri Nov 16 01:39:54 +0000 2012
RepDeanPhillips,67161,2017,3783,True,Sat Nov 10 17:30:23 +0000 2018
RepDesposito,10212,709,3351,True,Wed Dec 28 21:36:58 +0000 2022
RepDeSaulnier,22663,1043,11126,True,Thu Jan 08 15:32:13 +0000 2015
RepBrownley,21230,1111,10422,True,Tue Mar 05 14:51:28 +0000 2013
RepBice,30703,1052,3612,True,Wed Dec 30 12:33:17 +0000 2020
RepGabeAmo,5501,430,2856,True,Wed Nov 15 18:01:10 +0000 2023
RepHaleyStevens,44072,608,8282,True,Fri Dec 21 17:04:56 +0000 2018
RepRickLarsen,22537,6069,18430,True,Thu Nov 03 13:59:42 +0000 2011
RepSchneider,22718,1281,8836,True,Tue Jan 08 19:59:14 +0000 2013
RepBryanSteil,34174,569,6508,True,Wed Dec 19 01:46:28 +0000 2018
RepNikkiB,6184,1331,3568,True,Thu Dec 15 19:47:36 +0000 2022
RepDanKildee,45039,1241,10290,True,Sat Dec 29 15:05:47 +0000 2012
RepAdams,31282,2611,14594,False,Thu Dec 11 19:54:07 +0000 2014
RepDebDingell,93156,2557,10324,True,Fri Jan 09 19:15:50 +0000 2015
RepMrvan,6416,458,1193,True,Mon Jan 04 21:21:40 +0000 2021
RepPfluger,28928,1231,7339,True,Mon Dec 21 20:40:01 +0000 2020
RepDeluzio,18435,736,3013,True,Fri Dec 30 21:15:48 +0000 2022
RepPaulTonko,27850,1955,15800,True,Wed Oct 21 17:24:57 +0000 2009
repvalhoyle,7341,343,1516,True,Tue Jan 10 17:33:54 +0000 2023
repgreglandsman,21614,425,3732,True,Thu Jan 12 20:41:10 +0000 2023
RepKimSchrier,18739,175,4593,True,Wed Jan 02 13:55:16 +0000 2019
RepFinstad,7378,220,1699,True,Sat Aug 27 00:04:50 +0000 2022
RepJoeNeguse,205185,1249,6986,True,Fri Dec 28 20:29:29 +0000 2018
RepDerekKilmer,28400,465,9488,True,Thu Jan 03 22:15:02 +0000 2013
DrNealDunnFL2,18916,401,4319,True,Mon Jan 02 16:06:07 +0000 2017
RepMGS,57809,1420,12090,True,Tue Nov 27 22:10:34 +0000 2018
RepLangworthy,10677,1021,3221,True,Fri Jan 06 16:15:42 +0000 2023
RepCasar,84244,768,2940,True,Thu Mar 03 22:29:49 +0000 2022
RepBradWenstrup,39325,1113,8031,False,Thu Mar 08 16:25:14 +0000 2012
