Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
CornynJohn Cornyn (R),$34095780,$6935021,20.34%,Raised over $100k,R,Republican,34095780,6935021,20.34,John Cornyn,100.0,auto,John,Cornyn,John Cornyn,Republican,sen,TX,C001056,JohnCornyn,Q3,all senators kept
HironoMazie K Hirono (D),$4838111,$943649,19.50%,Raised over $100k,D,Democrat,4838111,943649,19.5,Mazie K Hirono,96.6,auto,Mazie,Hirono,Mazie K. Hirono,Democrat,sen,HI,H001042,MazieHirono,Q3,all senators kept
BanksJim Banks (R),$7151159,$1305346,18.25%,Raised over $100k,R,Republican,7151159,1305346,18.25,Jim Banks,100.0,auto,Jim,Banks,Jim Banks,Republican,sen,IN,B001299,RepJimBanks,Q2,all senators kept
Hyde-SmithCindy Hyde-Smith (R),$4995726,$908448,18.18%,Raised over $100k,R,Republican,4995726,908448,18.18,Cindy Hyde-Smith,100.0,auto,Cindy,Hyde-Smith,Cindy Hyde-Smith,Republican,sen,MS,H001079,SenHydeSmith,Q2,all senators kept
CollinsSusan Collins (R),$29778726,$5276897,17.72%,Raised over $100k,R,Republican,29778726,5276897,17.72,Susan Collins,89.7,auto,Susan,Collins,Susan M. Collins,Republican,sen,ME,C001035,SenatorCollins,Q2,all senators kept
CarlJerry Carl (R),$1791145,$305387,17.05%,Raised over $100k,R,Republican,1791145,305387,17.05,John R. Curtis,100.0,manual,,,John R. Curtis,Republican,sen,UT,C001114,RepJohnCurtis,Q2,all senators kept
LummisCynthia Lummis (R),$3581541,$561158,15.67%,Raised over $100k,R,Republican,3581541,561158,15.67,Cynthia Lummis,90.3,auto,Cynthia,Lummis,Cynthia M. Lummis,Republican,sen,WY,L000571,SenLummis,Q2,all senators kept
CantwellMaria Cantwell (D),$12724745,$1969002,15.47%,Raised over $100k,D,Democrat,12724745,1969002,15.47,Maria Cantwell,100.0,auto,Maria,Cantwell,Maria Cantwell,Democrat,sen,WA,C000127,SenatorCantwell,Q2,all senators kept
GillibrandKirsten Gillibrand (D),$14857728,$2224331,14.97%,Raised over $100k,D,Democrat,14857728,2224331,14.97,Kirsten Gillibrand,92.3,auto,Kirsten,Gillibrand,Kirsten E. Gillibrand,Democrat,sen,NY,G000555,GillibrandNY,Q2,all senators kept
SchmittEric Schmitt (R),$8421390,$1218529,14.47%,Raised over $100k,R,Republican,8421390,1218529,14.47,Eric Schmitt,100.0,auto,Eric,Schmitt,Eric Schmitt,Republican,sen,MO,S001227,SenEricSchmitt,Q2,all senators kept
HeinrichMartin Heinrich (D),$12970084,$1857275,14.32%,Raised over $100k,D,Democrat,12970084,1857275,14.32,Martin Heinrich,100.0,auto,Martin,Heinrich,Martin Heinrich,Democrat,sen,NM,H001046,MartinHeinrich,Q2,all senators kept
DurbinDick Durbin (D),$9493246,$1317861,13.88%,Raised over $100k,D,Democrat,9493246,1317861,13.88,Richard J. Durbin,100.0,manual,,,Richard J. Durbin,Democrat,sen,IL,D000563,SenatorDurbin,Q2,all senators kept
CramerKevin Cramer (R),$6388234,$859805,13.46%,Raised over $100k,R,Republican,6388234,859805,13.46,Kevin Cramer,100.0,auto,Kevin,Cramer,Kevin Cramer,Republican,sen,ND,C001096,SenKevinCramer,Q2,all senators kept
SchumerCharles E Schumer (D),$42963221,$5630162,13.10%,Raised over $100k,D,Democrat,42963221,5630162,13.1,Charles E Schumer,97.1,auto,Charles,Schumer,Charles E. Schumer,Democrat,sen,NY,S000148,SenSchumer,Q2,all senators kept
HagertyBill Hagerty (R),$17165599,$2163506,12.60%,Raised over $100k,R,Republican,17165599,2163506,12.6,Bill Hagerty,100.0,auto,Bill,Hagerty,Bill Hagerty,Republican,sen,TN,H000601,SenatorHagerty,Q2,all senators kept
BraunMike Braun (R),$2175017,$273857,12.59%,Raised over $100k,R,Republican,2175017,273857,12.59,Mike Braun,100.0,manual,,,Mike Braun,Republican,sen,IN,B001310,SenatorBraun,Q2,all senators kept
BrittKatie Britt (R),$15313397,$1919905,12.54%,Raised over $100k,R,Republican,15313397,1919905,12.54,Katie Britt,81.5,auto,Katie,Britt,Katie Boyd Britt,Republican,sen,AL,B001319,SenKatieBritt,Q2,all senators kept
RischJames E Risch (R),$3958222,$472814,11.95%,Raised over $100k,R,Republican,3958222,472814,11.95,James E Risch,96.3,auto,James,Risch,James E. Risch,Republican,sen,ID,R000584,SenatorRisch,Q2,all senators kept
WarnerMark Warner (D),$20277320,$2070814,10.21%,Raised over $100k,D,Democrat,20277320,2070814,10.21,Mark Warner,88.0,auto,Mark,Warner,Mark R. Warner,Democrat,sen,VA,W000805,MarkWarner,Q2,all senators kept
WydenRon Wyden (D),$13797024,$1276047,9.25%,Raised over $100k,D,Democrat,13797024,1276047,9.25,Ron Wyden,100.0,auto,Ron,Wyden,Ron Wyden,Democrat,sen,OR,W000779,RonWyden,Q2,all senators kept
BarrassoJohn Barrasso (R),$10586702,$959048,9.06%,Raised over $100k,R,Republican,10586702,959048,9.06,John Barrasso,100.0,auto,John,Barrasso,John Barrasso,Republican,sen,WY,B001261,SenJohnBarrasso,Q2,all senators kept
SullivanDan Sullivan (R),$11438622,$1007738,8.81%,Raised over $100k,R,Republican,11438622,1007738,8.81,Dan Sullivan,100.0,auto,Dan,Sullivan,Dan Sullivan,Republican,sen,AK,S001198,SenDanSullivan,Q2,all senators kept
BlumenthalRichard Blumenthal (D),$8881747,$780481,8.79%,Raised over $100k,D,Democrat,8881747,780481,8.79,Richard Blumenthal,100.0,auto,Richard,Blumenthal,Richard Blumenthal,Democrat,sen,CT,B001277,SenBlumenthal,Q2,all senators kept
ScottRick Scott (R),$46338811,$4059971,8.76%,Raised over $100k,R,Republican,46338811,4059971,8.76,Rick Scott,100.0,auto,Rick,Scott,Rick Scott,Republican,sen,FL,S001217,SenRickScott,Q2,all senators kept
KingAngus King (I),$5613023,$478088,8.52%,Raised over $100k,I,Independent,5613023,478088,8.52,Angus King,71.4,auto,Angus,King,"Angus S. King, Jr.",Independent,sen,ME,K000383,SenAngusKing,Q2,all senators kept
MarshallRoger Marshall (R),$8689537,$730434,8.41%,Raised over $100k,R,Republican,8689537,730434,8.41,Roger Marshall,100.0,auto,Roger,Marshall,Roger Marshall,Republican,sen,KS,M001198,SenatorMarshall,Q2,all senators kept
YoungTodd Young (R),$15679033,$1216193,7.76%,Raised over $100k,R,Republican,15679033,1216193,7.76,Todd Young,100.0,auto,Todd,Young,Todd Young,Republican,sen,IN,Y000064,SenToddYoung,Q2,all senators kept
RoundsMike Rounds (R),$4905720,$380413,7.75%,Raised over $100k,R,Republican,4905720,380413,7.75,Mike Rounds,100.0,auto,Mike,Rounds,Mike Rounds,Republican,sen,SD,R000605,SenatorRounds,Q2,all senators kept
SinemaKyrsten Sinema (I),$12276462,$935778,7.62%,Raised over $100k,I,Independent,12276462,935778,7.62,Kyrsten Sinema,100.0,manual,,,Kyrsten Sinema,Independent,sen,AZ,S001191,Senatorsinema,Q1 (lowest),all senators kept
FischerDeb Fischer (R),$8409719,$639629,7.61%,Raised over $100k,R,Republican,8409719,639629,7.61,Deb Fischer,100.0,auto,Deb,Fischer,Deb Fischer,Republican,sen,NE,F000463,SenatorFischer,Q1 (lowest),all senators kept
