Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
JohnsonMike Johnson (R),$19065042,$5236369,27.47%,Raised over $100k,R,Republican,19065042,5236369,27.47,Mike Johnson,100.0,auto,Mike,Johnson,Mike Johnson,Republican,rep,LA,J000299,RepMikeJohnson,Q4 (highest),full_house
PerryScott Perry (R),$4471323,$1202185,26.89%,Raised over $100k,R,Republican,4471323,1202185,26.89,Scott Perry,100.0,auto,Scott,Perry,Scott Perry,Republican,rep,PA,P000605,RepScottPerry,Q4 (highest),full_house
JayapalPramila Jayapal (D),$2793025,$738280,26.43%,Raised over $100k,D,Democrat,2793025,738280,26.43,Pramila Jayapal,100.0,auto,Pramila,Jayapal,Pramila Jayapal,Democrat,rep,WA,J000298,RepJayapal,Q4 (highest),full_house
LuttrellMorgan Luttrell (R),$1861800,$491411,26.39%,Raised over $100k,R,Republican,1861800,491411,26.39,Morgan Luttrell,100.0,auto,Morgan,Luttrell,Morgan Luttrell,Republican,rep,TX,L000603,RepLuttrell,Q4 (highest),full_house
HuntWesley Hunt (R),$2760120,$719422,26.06%,Raised over $100k,R,Republican,2760120,719422,26.06,Wesley Hunt,100.0,auto,Wesley,Hunt,Wesley Hunt,Republican,rep,TX,H001095,RepWesleyHunt,Q4 (highest),full_house
JamesJohn James (R),$9477442,$2441780,25.76%,Raised over $100k,R,Republican,9477442,2441780,25.76,John James,100.0,auto,John,James,John James,Republican,rep,MI,J000307,RepJames,Q4 (highest),full_house
KimYoung Kim (R),$9067799,$2273294,25.07%,Raised over $100k,R,Republican,9067799,2273294,25.07,Young Kim,100.0,auto,Young,Kim,Young Kim,Republican,rep,CA,K000397,RepYoungKim,Q4 (highest),full_house
WaltzMichael Waltz (R),$2791083,$661047,23.68%,Raised over $100k,R,Republican,2791083,661047,23.68,Michael Waltz,100.0,manual,,,Michael Waltz,Republican,rep,FL,W000823,RepMichaelWaltz,Q4 (highest),full_house
BurchettTim Burchett (R),$1229828,$287186,23.35%,Raised over $100k,R,Republican,1229828,287186,23.35,Tim Burchett,100.0,auto,Tim,Burchett,Tim Burchett,Republican,rep,TN,B001309,RepTimBurchett,Q4 (highest),full_house
McClellanJennifer McClellan (D),$2694818,$628053,23.31%,Raised over $100k,D,Democrat,2694818,628053,23.31,Jennifer McClellan,92.3,auto,Jennifer,McClellan,Jennifer L. McClellan,Democrat,rep,VA,M001227,RepMcClellan,Q4 (highest),full_house
LeeBarbara Lee (D),$5473994,$1272567,23.25%,Raised over $100k,D,Democrat,5473994,1272567,23.25,Barbara Lee,100.0,manual,,,Barbara Lee,Democrat,rep,CA,L000551,RepBarbaraLee,Q4 (highest),full_house
GarciaRobert Garcia (D),$1326793,$292761,22.07%,Raised over $100k,D,Democrat,1326793,292761,22.07,Robert Garcia,100.0,auto,Robert,Garcia,Robert Garcia,Democrat,rep,CA,G000598,RepRobertGarcia,Q4 (highest),full_house
McClainLisa McClain (R),$1029112,$215130,20.90%,Raised over $100k,R,Republican,1029112,215130,20.9,Lisa McClain,88.9,auto,Lisa,McClain,Lisa C. McClain,Republican,rep,MI,M001136,RepLisaMcClain,Q4 (highest),full_house
SpanbergerAbigail Spanberger (D),$1723491,$359003,20.83%,Raised over $100k,D,Democrat,1723491,359003,20.83,Abigail Davis Spanberger,100.0,manual,,,Abigail Davis Spanberger,Democrat,rep,VA,S001209,RepSpanberger,Q4 (highest),full_house
