Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
SpanbergerAbigail Spanberger (D),$1723491,$359003,20.83%,Raised over $100k,D,Democrat,1723491,359003,20.83,Abigail Davis Spanberger,100.0,manual,,,Abigail Davis Spanberger,Democrat,rep,VA,S001209,RepSpanberger,Q4 (highest),full_house
GoodBob Good (R),$1328803,$262684,19.77%,Raised over $100k,R,Republican,1328803,262684,19.77,Bob Good,100.0,manual,,,Bob Good,Republican,rep,VA,G000595,RepBobGood,Q4 (highest),full_house
TenneyClaudia Tenney (R),$2993079,$589942,19.71%,Raised over $100k,R,Republican,2993079,589942,19.71,Claudia Tenney,100.0,auto,Claudia,Tenney,Claudia Tenney,Republican,rep,NY,T000478,RepTenney,Q4 (highest),full_house
OwensBurgess Owens (R),$1449406,$285518,19.70%,Raised over $100k,R,Republican,1449406,285518,19.7,Burgess Owens,100.0,auto,Clarence,Owens,Burgess Owens,Republican,rep,UT,O000086,RepBurgessOwens,Q4 (highest),full_house
DuncanJeff Duncan (R),$784969,$146993,18.73%,Raised over $100k,R,Republican,784969,146993,18.73,Jeff Duncan,100.0,manual,,,Jeff Duncan,Republican,rep,SC,D000615,RepJeffDuncan,Q4 (highest),full_house
WagnerAnn Wagner (R),$4213631,$770676,18.29%,Raised over $100k,R,Republican,4213631,770676,18.29,Ann Wagner,100.0,auto,Ann,Wagner,Ann Wagner,Republican,rep,MO,W000812,RepAnnWagner,Q4 (highest),full_house
PocanMark Pocan (D),$1064083,$189287,17.79%,Raised over $100k,D,Democrat,1064083,189287,17.79,Mark Pocan,100.0,auto,Mark,Pocan,Mark Pocan,Democrat,rep,WI,P000607,RepMarkPocan,Q4 (highest),full_house
KiggansJen Kiggans (R),$6434811,$1134837,17.64%,Raised over $100k,R,Republican,6434811,1134837,17.64,Jen Kiggans,73.3,auto,Jennifer,Kiggans,Jennifer A. Kiggans,Republican,rep,VA,K000399,RepJenKiggans,Q4 (highest),full_house
KileyKevin Kiley (R),$4187895,$736088,17.58%,Raised over $100k,R,Republican,4187895,736088,17.58,Kevin Kiley,100.0,auto,Kevin,Kiley,Kevin Kiley,Republican,rep,CA,K000401,RepKiley,Q4 (highest),full_house
MooneyAlex Mooney (R),$1952747,$342324,17.53%,Raised over $100k,R,Republican,1952747,342324,17.53,Alexander X. Mooney,100.0,manual,,,Alexander X. Mooney,Republican,rep,WV,M001195,RepAlexMooney,Q4 (highest),full_house
SteelMichelle Steel (R),$10449923,$1816823,17.39%,Raised over $100k,R,Republican,10449923,1816823,17.39,Michelle Steel,100.0,manual,,,Michelle Steel,Republican,rep,CA,S001135,RepSteel,Q4 (highest),full_house
HarshbargerDiana Harshbarger (R),$1872094,$324407,17.33%,Raised over $100k,R,Republican,1872094,324407,17.33,Diana Harshbarger,100.0,auto,Diana,Harshbarger,Diana Harshbarger,Republican,rep,TN,H001086,RepHarshbarger,Q4 (highest),full_house
GosarPaul Gosar (R),$459220,$75643,16.47%,Raised over $100k,R,Republican,459220,75643,16.47,Paul Gosar,87.0,auto,Paul,Gosar,Paul A. Gosar,Republican,rep,AZ,G000565,RepGosar,Q4 (highest),full_house
CammackKat Cammack (R),$2634508,$433343,16.45%,Raised over $100k,R,Republican,2634508,433343,16.45,Kat Cammack,100.0,auto,Katherine,Cammack,Kat Cammack,Republican,rep,FL,C001039,RepKatCammack,Q4 (highest),full_house
HayesJahana Hayes (D),$4048084,$657678,16.25%,Raised over $100k,D,Democrat,4048084,657678,16.25,Jahana Hayes,100.0,auto,Jahana,Hayes,Jahana Hayes,Democrat,rep,CT,H001081,RepJahanaHayes,Q4 (highest),full_house
CaraveoYadira Caraveo (D),$8048643,$1294679,16.09%,Raised over $100k,D,Democrat,8048643,1294679,16.09,Yadira Caraveo,100.0,manual,,,Yadira Caraveo,Democrat,rep,CO,C001134,YadiraCaraveo,Q4 (highest),full_house
FousheeValerie Foushee (D),$683926,$109725,16.04%,Raised over $100k,D,Democrat,683926,109725,16.04,Valerie Foushee,90.9,auto,Valerie,Foushee,Valerie P. Foushee,Democrat,rep,NC,F000477,ValerieFoushee,Q4 (highest),full_house
HinsonAshley Hinson (R),$5565617,$888904,15.97%,Raised over $100k,R,Republican,5565617,888904,15.97,Ashley Hinson,100.0,auto,Ashley,Hinson,Ashley Hinson,Republican,rep,IA,H001091,RepAshleyHinson,Q4 (highest),full_house
McClintockTom McClintock (R),$1143387,$180914,15.82%,Raised over $100k,R,Republican,1143387,180914,15.82,Tom McClintock,100.0,auto,Tom,McClintock,Tom McClintock,Republican,rep,CA,M001177,RepMcClintock,Q4 (highest),full_house
