"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"ColemanBonnie Coleman (D)","$1095676","$103290","9.43%","Raised over $100k"
"BennetMichael F Bennet (D)","$17801104","$1672627","9.40%","Raised over $100k"
"StutzmanMarlin Stutzman (R)","$2122286","$198843","9.37%","Raised over $100k"
"CourtneyJoe Courtney (D)","$1196029","$111390","9.31%","Raised over $100k"
"CoffmanMike Coffman (R)","$3515601","$321724","9.15%","Raised over $100k"
"ZeldinLee Zeldin (R)","$4405395","$402825","9.14%","Raised over $100k"
"WittmanRob Wittman (R)","$1037816","$94694","9.12%","Raised over $100k"
"VitterDavid Vitter (R)","$2899218","$262501","9.05%","Raised over $100k"
"RangelCharles B Rangel (D)","$221750","$20030","9.03%","Raised over $100k"
"BoxerBarbara Boxer (D)","$690527","$62278","9.02%","Raised over $100k"
"ReidHarry Reid (D)","$3624597","$324775","8.96%","Raised over $100k"
"ClawsonCurt Clawson (R)","$335865","$30040","8.94%","Raised over $100k"
"SensenbrennerJim Sensenbrenner (R)","$384927","$34343","8.92%","Raised over $100k"
"LankfordJames Lankford (R)","$7243412","$642813","8.87%","Raised over $100k"
"LoebsackDavid Loebsack (D)","$1608466","$141762","8.81%","Raised over $100k"
"AyotteKelly Ayotte (R)","$18428000","$1602616","8.70%","Raised over $100k"
"KirkMark Kirk (R)","$11973173","$1038689","8.68%","Raised over $100k"
"NelsonBill Nelson (D)","$14929609","$1291940","8.65%","Raised over $100k"
"TakanoMark A Takano (D)","$1064415","$91936","8.64%","Raised over $100k"
"LabradorRaul Labrador (R)","$491520","$42293","8.60%","Raised over $100k"
"JordanJim Jordan (R)","$732366","$62992","8.60%","Raised over $100k"
"WarnerMark Warner (D)","$16786930","$1441553","8.59%","Raised over $100k"
"FlemingJohn Fleming (R)","$4516668","$386867","8.57%","Raised over $100k"
"ComstockBarbara Comstock (R)","$5279626","$445586","8.44%","Raised over $100k"
"DuffySean P Duffy (R)","$2296295","$191369","8.33%","Raised over $100k"
"DelBeneSuzan DelBene (D)","$1997270","$166202","8.32%","Raised over $100k"
"McMorrisCathy McMorris Rodgers (R)","$3245571","$266245","8.20%","Raised over $100k"
"BonamiciSuzanne Bonamici (D)","$919183","$75282","8.19%","Raised over $100k"
"WenstrupBrad Wenstrup (R)","$1134919","$92381","8.14%","Raised over $100k"
"WhitehouseSheldon Whitehouse (D)","$4528600","$368383","8.13%","Raised over $100k"
"HuffmanJared Huffman (D)","$962597","$78131","8.12%","Raised over $100k"
"HurtRobert Hurt (R)","$452367","$36695","8.11%","Raised over $100k"
"KingPete King (R)","$1063928","$85048","7.99%","Raised over $100k"
"YohoTed Yoho (R)","$811470","$63681","7.85%","Raised over $100k"
"PoseyBill Posey (R)","$888494","$69366","7.81%","Raised over $100k"
