"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"MoskowitzJared Moskowitz (D)","$2169791","$280960","12.95%","Raised over $100k"
"CourtneyJoe Courtney (D)","$1265677","$160372","12.67%","Raised over $100k"
"LeskoDebbie Lesko (R)","$319014","$40398","12.66%","Raised over $100k"
"SalinasAndrea Salinas (D)","$5312185","$670954","12.63%","Raised over $100k"
"HagertyBill Hagerty (R)","$17165599","$2163506","12.60%","Raised over $100k"
"BraunMike Braun (R)","$2175017","$273857","12.59%","Raised over $100k"
"BrittKatie Britt (R)","$15313397","$1919905","12.54%","Raised over $100k"
"PingreeChellie Pingree (D)","$661687","$82710","12.50%","Raised over $100k"
"RosendaleMatt Rosendale (R)","$790441","$97482","12.33%","Raised over $100k"
"LopezGreg Lopez (R)","$43353","$5266","12.15%","Raised less than $100k"
"LegerTeresa Leger Fernandez (D)","$2105098","$254871","12.11%","Raised over $100k"
"McCaulMichael McCaul (R)","$3127715","$377739","12.08%","Raised over $100k"
"RischJames E Risch (R)","$3958222","$472814","11.95%","Raised over $100k"
"CastroJoaquin Castro (D)","$677236","$80805","11.93%","Raised over $100k"
"OglesAndy Ogles (R)","$953830","$113373","11.89%","Raised over $100k"
"CraigAngie Craig (D)","$7785521","$920160","11.82%","Raised over $100k"
"BairdJim Baird (R)","$455568","$52686","11.56%","Raised over $100k"
"Chavez-DeremerLori Chavez-Deremer (R)","$5962097","$687815","11.54%","Raised over $100k"
"KapturMarcy Kaptur (D)","$5030990","$574735","11.42%","Raised over $100k"
"HarrisAndy Harris (R)","$1349540","$152803","11.32%","Raised over $100k"
"MalliotakisNicole Malliotakis (R)","$3303258","$368457","11.15%","Raised over $100k"
"BergmanJohn Bergman (R)","$1948889","$215674","11.07%","Raised over $100k"
"NunnZach Nunn (R)","$5752268","$635937","11.06%","Raised over $100k"
"LofgrenZoe Lofgren (D)","$2276594","$247668","10.88%","Raised over $100k"
"StauberPete Stauber (R)","$2260576","$245854","10.88%","Raised over $100k"
"RamirezDelia Ramirez (D)","$1115639","$121089","10.85%","Raised over $100k"
"CloudMichael Cloud (R)","$785113","$80300","10.23%","Raised over $100k"
"WarnerMark Warner (D)","$20277320","$2070814","10.21%","Raised over $100k"
"GoldmanDan Goldman (D)","$3604421","$365993","10.15%","Raised over $100k"
"DavisDon Davis (D)","$5997022","$607763","10.13%","Raised over $100k"
"ScholtenHillary Scholten (D)","$5219042","$524791","10.06%","Raised over $100k"
"SchakowskyJan Schakowsky (D)","$1547043","$153233","9.90%","Raised over $100k"
"TakanoMark Takano (D)","$1281860","$125289","9.77%","Raised over $100k"
"ManningKathy Manning (D)","$428505","$41882","9.77%","Raised over $100k"
"GreenMark Green (R)","$2140409","$207720","9.70%","Raised over $100k"
"LevinMike Levin (D)","$5512893","$533760","9.68%","Raised over $100k"
"SorensenEric Sorensen (D)","$4999828","$479638","9.59%","Raised over $100k"
"FulcherRuss Fulcher (R)","$626646","$59964","9.57%","Raised over $100k"
"RyanPat Ryan (D)","$7966965","$761213","9.55%","Raised over $100k"
"MrvanFrank Mrvan Jr (D)","$3182521","$299007","9.40%","Raised over $100k"
"PflugerAugust Pfluger (R)","$3462839","$320725","9.26%","Raised over $100k"
"WydenRon Wyden (D)","$13797024","$1276047","9.25%","Raised over $100k"
"DeluzioChristopher Deluzio (D)","$5017315","$463798","9.24%","Raised over $100k"
"TonkoPaul Tonko (D)","$1541765","$141725","9.19%","Raised over $100k"
"HoyleVal Hoyle (D)","$2636516","$242102","9.18%","Raised over $100k"
"LandsmanGreg Landsman (D)","$3674183","$333673","9.08%","Raised over $100k"
"BarrassoJohn Barrasso (R)","$10586702","$959048","9.06%","Raised over $100k"
"SullivanDan Sullivan (R)","$11438622","$1007738","8.81%","Raised over $100k"
"BlumenthalRichard Blumenthal (D)","$8881747","$780481","8.79%","Raised over $100k"
"SchrierKim Schrier (D)","$6409926","$563031","8.78%","Raised over $100k"
"FinstadBrad Finstad (R)","$1954782","$171280","8.76%","Raised over $100k"
"ScottRick Scott (R)","$46338811","$4059971","8.76%","Raised over $100k"
"NeguseJoseph Neguse (D)","$2402305","$210215","8.75%","Raised over $100k"
"KilmerDerek Kilmer (D)","$763029","$66457","8.71%","Raised over $100k"
"DunnNeal Dunn (R)","$1062453","$91746","8.64%","Raised over $100k"
"KingAngus King (I)","$5613023","$478088","8.52%","Raised over $100k"
"GayMary Gay Scanlon (D)","$1473876","$124637","8.46%","Raised over $100k"
"MarshallRoger Marshall (R)","$8689537","$730434","8.41%","Raised over $100k"
"LaturnerJake Laturner (R)","$678202","$55749","8.22%","Raised over $100k"
"CasarGreg Casar (D)","$1108368","$90943","8.21%","Raised over $100k"
"WenstrupBrad Wenstrup (R)","$618722","$50740","8.20%","Raised over $100k"
"PettersenBrittany Pettersen (D)","$2444027","$200264","8.19%","Raised over $100k"
"DelBeneSuzan DelBene (D)","$3820057","$310137","8.12%","Raised over $100k"
"SmithJason Smith (R)","$6519602","$528856","8.11%","Raised over $100k"
"KeatingBill Keating (D)","$678884","$54638","8.05%","Raised over $100k"
"ClyburnJames E Clyburn (D)","$2219819","$177896","8.01%","Raised over $100k"
"JacobsSara Jacobs (D)","$1698496","$133945","7.89%","Raised over $100k"
"LeeErica Lee Carter (D)","$70270","$5495","7.82%","Raised less than $100k"
"CastenSean Casten (D)","$3007319","$233392","7.76%","Raised over $100k"
"YoungTodd Young (R)","$15679033","$1216193","7.76%","Raised over $100k"
"RoundsMike Rounds (R)","$4905720","$380413","7.75%","Raised over $100k"
"FosterBill Foster (D)","$3218842","$246554","7.66%","Raised over $100k"
"SinemaKyrsten Sinema (I)","$12276462","$935778","7.62%","Raised over $100k"
"FischerDeb Fischer (R)","$8409719","$639629","7.61%","Raised over $100k"
"NehlsTroy Nehls (R)","$834455","$63085","7.56%","Raised over $100k"
"LeeSusie Lee (D)","$5966655","$450741","7.55%","Raised over $100k"
