Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter
LeeSusie Lee (D),$5966655,$450741,7.55%,Raised over $100k,D,Democrat,5966655,450741,7.55,Susie Lee,100.0,auto,Susie,Lee,Susie Lee,Democrat,rep,NV,L000590,RepSusieLee
DeanMadeleine Dean (D),$1739285,$131357,7.55%,Raised over $100k,D,Democrat,1739285,131357,7.55,Madeleine Dean,100.0,auto,Madeleine,Dean,Madeleine Dean,Democrat,rep,PA,D000631,RepDean
NormanRalph Norman (R),$395128,$29820,7.55%,Raised over $100k,R,Republican,395128,29820,7.55,Ralph Norman,100.0,auto,Ralph,Norman,Ralph Norman,Republican,rep,SC,N000190,RepRalphNorman
McMorrisCathy McMorris Rodgers (R),$3068965,$229910,7.49%,Raised over $100k,R,Republican,3068965,229910,7.49,Cathy McMorris Rodgers,100.0,manual,,,Cathy McMorris Rodgers,Republican,rep,WA,M001159,
KrishnamoorthiRaja Krishnamoorthi (D),$10781740,$802847,7.45%,Raised over $100k,D,Democrat,10781740,802847,7.45,Raja Krishnamoorthi,100.0,auto,Raja,Krishnamoorthi,Raja Krishnamoorthi,Democrat,rep,IL,K000391,CongressmanRaja
RomneyMitt Romney (R),$2523205,$187046,7.41%,Raised over $100k,R,Republican,2523205,187046,7.41,Mitt Romney,100.0,manual,,,Mitt Romney,Republican,sen,UT,R000615,
FitzgeraldScott Fitzgerald (R),$1308311,$95942,7.33%,Raised over $100k,R,Republican,1308311,95942,7.33,Scott Fitzgerald,100.0,auto,Scott,Fitzgerald,Scott Fitzgerald,Republican,rep,WI,F000471,RepFitzgerald
CiscomaniJuan Ciscomani (R),$6876505,$478641,6.96%,Raised over $100k,R,Republican,6876505,478641,6.96,Juan Ciscomani,100.0,auto,Juan,Ciscomani,Juan Ciscomani,Republican,rep,AZ,C001133,RepCiscomani
TitusDina Titus (D),$2427313,$167477,6.90%,Raised over $100k,D,Democrat,2427313,167477,6.9,Dina Titus,100.0,auto,Dina,Titus,Dina Titus,Democrat,rep,NV,T000468,RepDinaTitus
CastorKathy Castor (D),$1162514,$80042,6.89%,Raised over $100k,D,Democrat,1162514,80042,6.89,Kathy Castor,100.0,auto,Kathy,Castor,Kathy Castor,Democrat,rep,FL,C001066,USRepKCastor
CartwrightMatt Cartwright (D),$8563884,$583466,6.81%,Raised over $100k,D,Democrat,8563884,583466,6.81,Matt Cartwright,100.0,manual,,,Matt Cartwright,Democrat,rep,PA,C001090,
KusterAnn Kuster (D),$1460525,$99210,6.79%,Raised over $100k,D,Democrat,1460525,99210,6.79,Ann M. Kuster,100.0,manual,,,Ann M. Kuster,Democrat,rep,NH,K000382,
TokudaJill Tokuda (D),$961307,$65216,6.78%,Raised over $100k,D,Democrat,961307,65216,6.78,Jill Tokuda,88.0,auto,Jill,Tokuda,Jill N. Tokuda,Democrat,rep,HI,T000487,RepJillTokuda
CalvertKen Calvert (R),$8016040,$541157,6.75%,Raised over $100k,R,Republican,8016040,541157,6.75,Ken Calvert,100.0,auto,Ken,Calvert,Ken Calvert,Republican,rep,CA,C000059,KenCalvert
ThuneJohn Thune (R),$14676498,$987613,6.73%,Raised over $100k,R,Republican,14676498,987613,6.73,John Thune,100.0,auto,John,Thune,John Thune,Republican,sen,SD,T000250,SenJohnThune
RuizRaul Ruiz (D),$2469042,$163127,6.61%,Raised over $100k,D,Democrat,2469042,163127,6.61,Raul Ruiz,100.0,auto,Raul,Ruiz,Raul Ruiz,Democrat,rep,CA,R000599,RepRaulRuizMD
WalbergTim Walberg (R),$1581866,$104443,6.60%,Raised over $100k,R,Republican,1581866,104443,6.6,Tim Walberg,100.0,auto,Tim,Walberg,Tim Walberg,Republican,rep,MI,W000798,RepWalberg
McGarveyMorgan McGarvey (D),$2152286,$141599,6.58%,Raised over $100k,D,Democrat,2152286,141599,6.58,Morgan McGarvey,100.0,auto,Morgan,McGarvey,Morgan McGarvey,Democrat,rep,KY,M001220,RepMcGarvey
RossDeborah Ross (D),$1916680,$124164,6.48%,Raised over $100k,D,Democrat,1916680,124164,6.48,Deborah Ross,88.9,auto,Deborah,Ross,Deborah K. Ross,Democrat,rep,NC,R000305,RepDeborahRoss
BeyerDon Beyer (D),$1924972,$123922,6.44%,Raised over $100k,D,Democrat,1924972,123922,6.44,"Donald S. Beyer, Jr.",100.0,manual,,,"Donald S. Beyer, Jr.",Democrat,rep,VA,B001292,RepDonBeyer
WilsonJoe Wilson (R),$875967,$56230,6.42%,Raised over $100k,R,Republican,875967,56230,6.42,Joe Wilson,100.0,auto,Joe,Wilson,Joe Wilson,Republican,rep,SC,W000795,RepJoeWilson
LawlerMike Lawler (R),$8244034,$527131,6.39%,Raised over $100k,R,Republican,8244034,527131,6.39,Mike Lawler,80.0,auto,Michael,Lawler,Michael Lawler,Republican,rep,NY,L000599,RepMikeLawler
KhannaRo Khanna (D),$10139203,$647965,6.39%,Raised over $100k,D,Democrat,10139203,647965,6.39,Ro Khanna,100.0,auto,Ro,Khanna,Ro Khanna,Democrat,rep,CA,K000389,RepRoKhanna
BonamiciSuzanne Bonamici (D),$933463,$59521,6.38%,Raised over $100k,D,Democrat,933463,59521,6.38,Suzanne Bonamici,100.0,auto,Suzanne,Bonamici,Suzanne Bonamici,Democrat,rep,OR,B001278,RepBonamici
PappasChris Pappas (D),$4064817,$258983,6.37%,Raised over $100k,D,Democrat,4064817,258983,6.37,Chris Pappas,100.0,auto,Chris,Pappas,Chris Pappas,Democrat,rep,NH,P000614,RepChrisPappas
Miller-MeeksMariannette Miller-Meeks (R),$5424426,$344101,6.34%,Raised over $100k,R,Republican,5424426,344101,6.34,Mariannette Miller-Meeks,100.0,auto,Mariannette,Miller-Meeks,Mariannette Miller-Meeks,Republican,rep,IA,M001215,RepMMM
GonzalesTony Gonzales (R),$5901618,$372958,6.32%,Raised over $100k,R,Republican,5901618,372958,6.32,Tony Gonzales,100.0,auto,Ernest,Gonzales,Tony Gonzales,Republican,rep,TX,G000594,RepTonyGonzales
BarrAndy Barr (R),$4940959,$311870,6.31%,Raised over $100k,R,Republican,4940959,311870,6.31,Andy Barr,100.0,auto,Garland,Barr,Andy Barr,Republican,rep,KY,B001282,RepAndyBarr
JohnsonHank Johnson (D),$661564,$40966,6.19%,Raised over $100k,D,Democrat,661564,40966,6.19,"Henry C. ""Hank"" Johnson, Jr.",100.0,manual,,,"Henry C. ""Hank"" Johnson, Jr.",Democrat,rep,GA,J000288,RepHankJohnson
HoulahanChrissy Houlahan (D),$2490375,$154029,6.18%,Raised over $100k,D,Democrat,2490375,154029,6.18,Chrissy Houlahan,100.0,auto,Chrissy,Houlahan,Chrissy Houlahan,Democrat,rep,PA,H001085,RepHoulahan
HuffmanJared Huffman (D),$997755,$61180,6.13%,Raised over $100k,D,Democrat,997755,61180,6.13,Jared Huffman,100.0,auto,Jared,Huffman,Jared Huffman,Democrat,rep,CA,H001068,RepHuffman
EmmerTom Emmer (R),$8166673,$498537,6.10%,Raised over $100k,R,Republican,8166673,498537,6.1,Tom Emmer,100.0,auto,Tom,Emmer,Tom Emmer,Republican,rep,MN,E000294,RepTomEmmer
MooreShelley Moore Capito (R),$6809822,$414479,6.09%,Raised over $100k,R,Republican,6809822,414479,6.09,Shelley Moore Capito,100.0,manual,,,Shelley Moore Capito,Republican,sen,WV,C001047,SenCapito
BishopDan Bishop (R),$223950,$13538,6.05%,Raised over $100k,R,Republican,223950,13538,6.05,Dan Bishop,100.0,manual,,,Dan Bishop,Republican,rep,NC,B001311,
NadlerJerrold Nadler (D),$1186827,$71188,6.00%,Raised over $100k,D,Democrat,1186827,71188,6.0,Jerrold Nadler,100.0,auto,Jerrold,Nadler,Jerrold Nadler,Democrat,rep,NY,N000002,RepJerryNadler
BentzCliff Bentz (R),$1093068,$65275,5.97%,Raised over $100k,R,Republican,1093068,65275,5.97,Cliff Bentz,100.0,auto,Cliff,Bentz,Cliff Bentz,Republican,rep,OR,B000668,RepBentz
NickelWiley Nickel (D),$1506600,$89202,5.92%,Raised over $100k,D,Democrat,1506600,89202,5.92,Zachary Nunn,100.0,manual,,,Zachary Nunn,Republican,rep,IA,N000193,ZachNunn
SchatzBrian Schatz (D),$4179203,$246841,5.91%,Raised over $100k,D,Democrat,4179203,246841,5.91,Brian Schatz,100.0,auto,Brian,Schatz,Brian Schatz,Democrat,sen,HI,S001194,SenBrianSchatz
WickerRoger Wicker (R),$9761165,$571305,5.85%,Raised over $100k,R,Republican,9761165,571305,5.85,Roger Wicker,88.9,auto,Roger,Wicker,Roger F. Wicker,Republican,sen,MS,W000437,SenatorWicker
SalazarMaria Salazar (R),$3222051,$188175,5.84%,Raised over $100k,R,Republican,3222051,188175,5.84,Maria Salazar,78.8,auto,Maria,Salazar,Maria Elvira Salazar,Republican,rep,FL,S000168,RepMariaSalazar
ClineBen Cline (R),$1012181,$58930,5.82%,Raised over $100k,R,Republican,1012181,58930,5.82,Ben Cline,100.0,auto,Ben,Cline,Ben Cline,Republican,rep,VA,C001118,RepBenCline
ScaliseSteve Scalise (R),$14633365,$846440,5.78%,Raised over $100k,R,Republican,14633365,846440,5.78,Steve Scalise,100.0,auto,Steve,Scalise,Steve Scalise,Republican,rep,LA,S001176,SteveScalise
BeraAmi Bera (D),$1114106,$62602,5.62%,Raised over $100k,D,Democrat,1114106,62602,5.62,Ami Bera,100.0,auto,Ami,Bera,Ami Bera,Democrat,rep,CA,B001287,RepBera
PhillipsDean Phillips (D),$7670177,$426978,5.57%,Raised over $100k,D,Democrat,7670177,426978,5.57,Dean Phillips,100.0,manual,,,Dean Phillips,Democrat,rep,MN,P000616,
D'EspositoAnthony D'Esposito (R),$4519185,$251430,5.56%,Raised over $100k,R,Republican,4519185,251430,5.56,,0.0,no_match,,,,,,,,
DesaulnierMark Desaulnier (D),$658949,$36599,5.55%,Raised over $100k,D,Democrat,658949,36599,5.55,Mark Desaulnier,93.3,auto,Mark,DeSaulnier,Mark DeSaulnier,Democrat,rep,CA,D000623,RepDeSaulnier
BlackburnMarsha Blackburn (R),$18651419,$1035095,5.55%,Raised over $100k,R,Republican,18651419,1035095,5.55,Marsha Blackburn,100.0,auto,Marsha,Blackburn,Marsha Blackburn,Republican,sen,TN,B001243,MarshaBlackburn
BrownleyJulia Brownley (D),$1581880,$87174,5.51%,Raised over $100k,D,Democrat,1581880,87174,5.51,Julia Brownley,100.0,auto,Julia,Brownley,Julia Brownley,Democrat,rep,CA,B001285,RepBrownley
BiceStephanie Bice (R),$2096812,$115186,5.49%,Raised over $100k,R,Republican,2096812,115186,5.49,Stephanie Bice,90.3,auto,Stephanie,Bice,Stephanie I. Bice,Republican,rep,OK,B000740,RepBice
AmoGabe Amo (D),$2567784,$139662,5.44%,Raised over $100k,D,Democrat,2567784,139662,5.44,Gabe Amo,100.0,auto,Gabe,Amo,Gabe Amo,Democrat,rep,RI,A000380,RepGabeAmo
StevensHaley Stevens (D),$2653589,$143805,5.42%,Raised over $100k,D,Democrat,2653589,143805,5.42,Haley Stevens,89.7,auto,Haley,Stevens,Haley M. Stevens,Democrat,rep,MI,S001215,RepHaleyStevens
CassidyBill Cassidy (R),$13712530,$741811,5.41%,Raised over $100k,R,Republican,13712530,741811,5.41,Bill Cassidy,100.0,auto,Bill,Cassidy,Bill Cassidy,Republican,sen,LA,C001075,SenBillCassidy
LarsenRick Larsen (D),$2430826,$131460,5.41%,Raised over $100k,D,Democrat,2430826,131460,5.41,Rick Larsen,100.0,auto,Rick,Larsen,Rick Larsen,Democrat,rep,WA,L000560,RepRickLarsen
MullinMarkwayne Mullin (R),$6423041,$340318,5.30%,Raised over $100k,R,Republican,6423041,340318,5.3,Markwayne Mullin,100.0,auto,Markwayne,Mullin,Markwayne Mullin,Republican,sen,OK,M001190,SenMullin
SchneiderBrad Schneider (D),$3837024,$200405,5.22%,Raised over $100k,D,Democrat,3837024,200405,5.22,Brad Schneider,75.7,auto,Bradley,Schneider,Bradley Scott Schneider,Democrat,rep,IL,S001190,RepSchneider
SteilBryan Steil (R),$5469476,$285471,5.22%,Raised over $100k,R,Republican,5469476,285471,5.22,Bryan Steil,100.0,auto,Bryan,Steil,Bryan Steil,Republican,rep,WI,S001213,RepBryanSteil
PadillaAlex Padilla (D),$12645481,$659863,5.22%,Raised over $100k,D,Democrat,12645481,659863,5.22,Alex Padilla,100.0,auto,Alejandro,Padilla,Alex Padilla,Democrat,sen,CA,P000145,SenAlexPadilla
BudzinskiNikki Budzinski (D),$4276995,$218683,5.11%,Raised over $100k,D,Democrat,4276995,218683,5.11,Nikki Budzinski,100.0,auto,Nicole (Nikki),Budzinski,Nikki Budzinski,Democrat,rep,IL,B001315,RepNikkiB
KildeeDan Kildee (D),$1258893,$64239,5.10%,Raised over $100k,D,Democrat,1258893,64239,5.1,Daniel T. Kildee,100.0,manual,,,Daniel T. Kildee,Democrat,rep,MI,K000380,
VanChris Van Hollen (D),$8407893,$424602,5.05%,Raised over $100k,D,Democrat,8407893,424602,5.05,Chris Van Hollen,100.0,manual,,,Chris Van Hollen,Democrat,sen,MD,V000128,ChrisVanHollen
AdamsAlma Adams (D),$714938,$34494,4.82%,Raised over $100k,D,Democrat,714938,34494,4.82,Alma Adams,87.0,auto,Alma,Adams,Alma S. Adams,Democrat,rep,NC,A000370,RepAdams
DingellDebbie Dingell (D),$1600135,$76307,4.77%,Raised over $100k,D,Democrat,1600135,76307,4.77,Debbie Dingell,100.0,auto,Debbie,Dingell,Debbie Dingell,Democrat,rep,MI,D000624,RepDebDingell
StantonGreg Stanton (D),$2768921,$130327,4.71%,Raised over $100k,D,Democrat,2768921,130327,4.71,Greg Stanton,100.0,auto,Greg,Stanton,Greg Stanton,Democrat,rep,AZ,S001211,RepGregStanton
CarperTom Carper (D),$1559477,$72302,4.64%,Raised over $100k,D,Democrat,1559477,72302,4.64,Thomas R. Carper,100.0,manual,,,Thomas R. Carper,Democrat,sen,DE,C000174,
DeLauroRosa DeLauro (D),$1717839,$79563,4.63%,Raised over $100k,D,Democrat,1717839,79563,4.63,Rosa DeLauro,88.9,auto,Rosa,DeLauro,Rosa L. DeLauro,Democrat,rep,CT,D000216,RosaDeLauro
BrownShontel Brown (D),$1396913,$64413,4.61%,Raised over $100k,D,Democrat,1396913,64413,4.61,Shontel Brown,89.7,auto,Shontel,Brown,Shontel M. Brown,Democrat,rep,OH,B001313,RepShontelBrown
McCormickRichard McCormick (R),$2168121,$98906,4.56%,Raised over $100k,R,Republican,2168121,98906,4.56,Richard McCormick,100.0,auto,Rich,McCormick,Richard McCormick,Republican,rep,GA,M001218,RepMcCormick
CoonsChris Coons (D),$8719861,$394545,4.52%,Raised over $100k,D,Democrat,8719861,394545,4.52,Chris Coons,71.0,auto,Christopher,Coons,Christopher A. Coons,Democrat,sen,DE,C001088,ChrisCoons
McIverLaMonica McIver (D),$637119,$28827,4.52%,Raised over $100k,D,Democrat,637119,28827,4.52,LaMonica McIver,100.0,auto,LaMonica,McIver,LaMonica McIver,Democrat,rep,NJ,M001229,RepLaMonica
HimesJim Himes (D),$2112633,$95194,4.51%,Raised over $100k,D,Democrat,2112633,95194,4.51,James A. Himes,100.0,manual,,,James A. Himes,Democrat,rep,CT,H001047,jahimes
WassermanDebbie Wasserman Schultz (D),$2865663,$127672,4.46%,Raised over $100k,D,Democrat,2865663,127672,4.46,Debbie Wasserman Schultz,100.0,manual,,,Debbie Wasserman Schultz,Democrat,rep,FL,W000797,RepDWStweets
McCollumBetty McCollum (D),$1758278,$76391,4.34%,Raised over $100k,D,Democrat,1758278,76391,4.34,Betty McCollum,100.0,auto,Betty,McCollum,Betty McCollum,Democrat,rep,MN,M001143,BettyMcCollum04
FrankelLois Frankel (D),$1859626,$80239,4.31%,Raised over $100k,D,Democrat,1859626,80239,4.31,Lois Frankel,100.0,auto,Lois,Frankel,Lois Frankel,Democrat,rep,FL,F000462,RepLoisFrankel
LankfordJames Lankford (R),$7449710,$321182,4.31%,Raised over $100k,R,Republican,7449710,321182,4.31,James Lankford,100.0,auto,James,Lankford,James Lankford,Republican,sen,OK,L000575,SenatorLankford
ClydeAndrew Clyde (R),$561936,$24143,4.30%,Raised over $100k,R,Republican,561936,24143,4.3,Andrew Clyde,88.9,auto,Andrew,Clyde,Andrew S. Clyde,Republican,rep,GA,C001116,Rep_Clyde
CleaverEmanuel Cleaver (D),$1384776,$59479,4.30%,Raised over $100k,D,Democrat,1384776,59479,4.3,Emanuel Cleaver,100.0,auto,Emanuel,Cleaver,Emanuel Cleaver,Democrat,rep,MO,C001061,RepCleaver
MurkowskiLisa Murkowski (R),$10964335,$468219,4.27%,Raised over $100k,R,Republican,10964335,468219,4.27,Lisa Murkowski,100.0,auto,Lisa,Murkowski,Lisa Murkowski,Republican,sen,AK,M001153,LisaMurkowski
HudsonRichard Hudson (R),$3947101,$168431,4.27%,Raised over $100k,R,Republican,3947101,168431,4.27,Richard Hudson,100.0,auto,Richard,Hudson,Richard Hudson,Republican,rep,NC,H001067,RepRichHudson
DavisDanny K Davis (D),$818234,$34904,4.27%,Raised over $100k,D,Democrat,818234,34904,4.27,Danny K Davis,96.3,auto,Danny,Davis,Danny K. Davis,Democrat,rep,IL,D000096,RepDannyDavis
WelchPeter Welch (D),$5678073,$238536,4.20%,Raised over $100k,D,Democrat,5678073,238536,4.2,Peter Welch,100.0,auto,Peter,Welch,Peter Welch,Democrat,sen,VT,W000800,PeterWelch
PlaskettStacey Plaskett (D),$668165,$28070,4.20%,Raised over $100k,D,Democrat,668165,28070,4.2,Stacey Plaskett,90.9,auto,Stacey,Plaskett,Stacey E. Plaskett,Democrat,rep,VI,P000610,StaceyPlaskett
ThompsonMike Thompson (D),$2423434,$100836,4.16%,Raised over $100k,D,Democrat,2423434,100836,4.16,Mike Thompson,100.0,auto,Mike,Thompson,Mike Thompson,Democrat,rep,CA,T000460,RepThompson
BostMike Bost (R),$3092672,$128100,4.14%,Raised over $100k,R,Republican,3092672,128100,4.14,Mike Bost,100.0,auto,Mike,Bost,Mike Bost,Republican,rep,IL,B001295,RepBost
ColeTom Cole (R),$5570716,$227840,4.09%,Raised over $100k,R,Republican,5570716,227840,4.09,Tom Cole,100.0,auto,Tom,Cole,Tom Cole,Republican,rep,OK,C001053,TomColeOK04
WatsonBonnie Watson Coleman (D),$929386,$37879,4.08%,Raised over $100k,D,Democrat,929386,37879,4.08,Bonnie Watson Coleman,100.0,manual,,,Bonnie Watson Coleman,Democrat,rep,NJ,W000822,RepBonnie
CarsonAndre Carson (D),$820449,$32957,4.02%,Raised over $100k,D,Democrat,820449,32957,4.02,Andre Carson,91.7,auto,André,Carson,André Carson,Democrat,rep,IN,C001072,RepAndreCarson
KennedyTimothy Kennedy (D),$2598886,$103941,4.00%,Raised over $100k,D,Democrat,2598886,103941,4.0,Timothy Kennedy,90.9,auto,Timothy,Kennedy,Timothy M. Kennedy,Democrat,rep,NY,K000402,reptimkennedy
KeanThomas H Kean Jr. (R),$5922881,$232027,3.92%,Raised over $100k,R,Republican,5922881,232027,3.92,Thomas H Kean Jr.,94.4,auto,Thomas,Kean,"Thomas H. Kean, Jr.",Republican,rep,NJ,K000398,CongressmanKean
BrecheenJosh Brecheen (R),$331851,$12860,3.88%,Raised over $100k,R,Republican,331851,12860,3.88,Josh Brecheen,100.0,auto,Josh,Brecheen,Josh Brecheen,Republican,rep,OK,B001317,repbrecheen
LaHoodDarin LaHood (R),$3734144,$144062,3.86%,Raised over $100k,R,Republican,3734144,144062,3.86,Darin LaHood,100.0,auto,Darin,LaHood,Darin LaHood,Republican,rep,IL,L000585,RepLaHood
AguilarPete Aguilar (D),$5808795,$223890,3.85%,Raised over $100k,D,Democrat,5808795,223890,3.85,Pete Aguilar,100.0,auto,Pete,Aguilar,Pete Aguilar,Democrat,rep,CA,A000371,RepPeteAguilar
LarsonJohn Larson (D),$1522651,$58687,3.85%,Raised over $100k,D,Democrat,1522651,58687,3.85,John Larson,88.0,auto,John,Larson,John B. Larson,Democrat,rep,CT,L000557,RepJohnLarson
GarciaJesus Garcia (D),$798895,$30653,3.84%,Raised over $100k,D,Democrat,798895,30653,3.84,"Jesús G. ""Chuy"" García",100.0,manual,,,"Jesús G. ""Chuy"" García",Democrat,rep,IL,G000586,RepChuyGarcia
VelazquezNydia Velazquez (D),$464287,$17362,3.74%,Raised over $100k,D,Democrat,464287,17362,3.74,Nydia M. Velázquez,100.0,manual,,,Nydia M. Velázquez,Democrat,rep,NY,V000081,NydiaVelazquez
SmithAdam Smith (D),$1668647,$61281,3.67%,Raised over $100k,D,Democrat,1668647,61281,3.67,Adam Smith,100.0,auto,Adam,Smith,Adam Smith,Democrat,rep,WA,S000510,RepAdamSmith
KellyRobin Kelly (D),$1893899,$69494,3.67%,Raised over $100k,D,Democrat,1893899,69494,3.67,Robin Kelly,88.0,auto,Robin,Kelly,Robin L. Kelly,Democrat,rep,IL,K000385,RepRobinKelly
StricklandMarilyn Strickland (D),$2048914,$74632,3.64%,Raised over $100k,D,Democrat,2048914,74632,3.64,Marilyn Strickland,100.0,auto,Marilyn,Strickland,Marilyn Strickland,Democrat,rep,WA,S001159,RepStricklandWA
HoevenJohn Hoeven (R),$4567097,$165818,3.63%,Raised over $100k,R,Republican,4567097,165818,3.63,John Hoeven,100.0,auto,John,Hoeven,John Hoeven,Republican,sen,ND,H001061,SenJohnHoeven
CarterBuddy Carter (R),$2581503,$93614,3.63%,Raised over $100k,R,Republican,2581503,93614,3.63,Buddy Carter,70.6,auto,Earl,Carter,"Earl L. ""Buddy"" Carter",Republican,rep,GA,C001103,RepBuddyCarter
DeGetteDiana DeGette (D),$1090985,$39183,3.59%,Raised over $100k,D,Democrat,1090985,39183,3.59,Diana DeGette,100.0,auto,Diana,DeGette,Diana DeGette,Democrat,rep,CO,D000197,RepDianaDeGette
ScottBobby Scott (D),$866157,$30504,3.52%,Raised over $100k,D,Democrat,866157,30504,3.52,"Robert C. ""Bobby"" Scott",100.0,manual,,,"Robert C. ""Bobby"" Scott",Democrat,rep,VA,S000185,BobbyScott
TorresRitchie Torres (D),$9084008,$318391,3.50%,Raised over $100k,D,Democrat,9084008,318391,3.5,Ritchie Torres,100.0,auto,Ritchie,Torres,Ritchie Torres,Democrat,rep,NY,T000486,RepRitchie
LangworthyNick Langworthy (R),$1895322,$66077,3.49%,Raised over $100k,R,Republican,1895322,66077,3.49,Nick Langworthy,75.7,auto,Nicholas,Langworthy,Nicholas A. Langworthy,Republican,rep,NY,L000600,RepLangworthy
WebsterDaniel Webster (R),$1004828,$34920,3.48%,Raised over $100k,R,Republican,1004828,34920,3.48,Daniel Webster,100.0,auto,Daniel,Webster,Daniel Webster,Republican,rep,FL,W000806,RepWebster
FryRussell Fry (R),$1473349,$50780,3.45%,Raised over $100k,R,Republican,1473349,50780,3.45,Russell Fry,100.0,auto,Russell,Fry,Russell Fry,Republican,rep,SC,F000478,RepRussellFry
SelfKeith Self (R),$724772,$24975,3.45%,Raised over $100k,R,Republican,724772,24975,3.45,Keith Self,100.0,auto,Keith,Self,Keith Self,Republican,rep,TX,S001224,repkeithself
PanettaJimmy Panetta (D),$3326588,$114385,3.44%,Raised over $100k,D,Democrat,3326588,114385,3.44,Jimmy Panetta,100.0,auto,Jimmy,Panetta,Jimmy Panetta,Democrat,rep,CA,P000613,RepJimmyPanetta
RulliMichael Rulli (R),$1084894,$37054,3.42%,Raised over $100k,R,Republican,1084894,37054,3.42,Michael Rulli,89.7,auto,Michael,Rulli,Michael A. Rulli,Republican,rep,OH,R000619,
LaMalfaDoug LaMalfa (R),$999613,$33896,3.39%,Raised over $100k,R,Republican,999613,33896,3.39,Doug LaMalfa,100.0,manual,,,Doug LaMalfa,Republican,rep,CA,L000578,
GreenAl Green (D),$340453,$11538,3.39%,Raised over $100k,D,Democrat,340453,11538,3.39,Al Green,100.0,auto,Al,Green,Al Green,Democrat,rep,TX,G000553,RepAlGreen
HorsfordSteven Horsford (D),$5361170,$181254,3.38%,Raised over $100k,D,Democrat,5361170,181254,3.38,Steven Horsford,100.0,auto,Steven,Horsford,Steven Horsford,Democrat,rep,NV,H001066,RepHorsford
LuetkemeyerBlaine Luetkemeyer (R),$1270996,$42321,3.33%,Raised over $100k,R,Republican,1270996,42321,3.33,Blaine Luetkemeyer,100.0,manual,,,Blaine Luetkemeyer,Republican,rep,MO,L000569,
ClarkKatherine Clark (D),$4850379,$159971,3.30%,Raised over $100k,D,Democrat,4850379,159971,3.3,Katherine Clark,90.9,auto,Katherine,Clark,Katherine M. Clark,Democrat,rep,MA,C001101,RepKClark
WilliamsNikema Williams (D),$991342,$32115,3.24%,Raised over $100k,D,Democrat,991342,32115,3.24,Nikema Williams,100.0,auto,Nikema,Williams,Nikema Williams,Democrat,rep,GA,W000788,RepNikema
ChuJudy Chu (D),$1894637,$60915,3.22%,Raised over $100k,D,Democrat,1894637,60915,3.22,Judy Chu,100.0,auto,Judy,Chu,Judy Chu,Democrat,rep,CA,C001080,RepJudyChu
MorelleJoseph D Morelle (D),$2122468,$68117,3.21%,Raised over $100k,D,Democrat,2122468,68117,3.21,Joseph D Morelle,97.0,auto,Joseph,Morelle,Joseph D. Morelle,Democrat,rep,NY,M001206,RepJoeMorelle
MullinKevin Mullin (D),$734953,$22889,3.11%,Raised over $100k,D,Democrat,734953,22889,3.11,Kevin Mullin,100.0,auto,Kevin,Mullin,Kevin Mullin,Democrat,rep,CA,M001225,RepKevinMullin
GonzalezVicente Gonzalez (D),$2484862,$77250,3.11%,Raised over $100k,D,Democrat,2484862,77250,3.11,Vicente Gonzalez,100.0,auto,Vicente,Gonzalez,Vicente Gonzalez,Democrat,rep,TX,G000581,RepGonzalez
CareyMike Carey (R),$2644015,$80421,3.04%,Raised over $100k,R,Republican,2644015,80421,3.04,Mike Carey,100.0,auto,Mike,Carey,Mike Carey,Republican,rep,OH,C001126,RepMikeCarey
CardinBen Cardin (D),$359838,$10926,3.04%,Raised over $100k,D,Democrat,359838,10926,3.04,Benjamin L. Cardin,100.0,manual,,,Benjamin L. Cardin,Democrat,sen,MD,C000141,
ClarkeYvette Clarke (D),$1095516,$32916,3.00%,Raised over $100k,D,Democrat,1095516,32916,3.0,Yvette Clarke,89.7,auto,Yvette,Clarke,Yvette D. Clarke,Democrat,rep,NY,C001067,RepYvetteClarke
FranklinScott Franklin (R),$664056,$19575,2.95%,Raised over $100k,R,Republican,664056,19575,2.95,Scott Franklin,100.0,auto,C.,Franklin,Scott Franklin,Republican,rep,FL,F000472,RepFranklin
LieuTed Lieu (D),$2569823,$75354,2.93%,Raised over $100k,D,Democrat,2569823,75354,2.93,Ted Lieu,100.0,auto,Ted,Lieu,Ted Lieu,Democrat,rep,CA,L000582,RepTedLieu
SchweikertDavid Schweikert (R),$4177660,$121838,2.92%,Raised over $100k,R,Republican,4177660,121838,2.92,David Schweikert,100.0,auto,David,Schweikert,David Schweikert,Republican,rep,AZ,S001183,RepDavid
MooreGwen Moore (D),$1342845,$38668,2.88%,Raised over $100k,D,Democrat,1342845,38668,2.88,Gwen Moore,100.0,auto,Gwen,Moore,Gwen Moore,Democrat,rep,WI,M001160,RepGwenMoore
AllenRichard W Allen (R),$1217539,$34588,2.84%,Raised over $100k,R,Republican,1217539,34588,2.84,Richard W Allen,78.6,auto,Rick,Allen,Rick W. Allen,Republican,rep,GA,A000372,RepRickAllen
VanBeth Van Duyne (R),$3124044,$88454,2.83%,Raised over $100k,R,Republican,3124044,88454,2.83,Gabe Vasquez,100.0,manual,,,Gabe Vasquez,Democrat,rep,NM,V000136,RepGabeVasquez
