Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter
MerkleyJeff Merkley (D),$9661683,$3499410,36.22%,Raised over $100k,D,Democrat,9661683,3499410,36.22,Jeff Merkley,100.0,auto,Jeff,Merkley,Jeff Merkley,Democrat,sen,OR,M001176,SenJeffMerkley
DainesSteven Daines (R),$34306895,$12265663,35.75%,Raised over $100k,R,Republican,34306895,12265663,35.75,Steven Daines,96.0,auto,Steve,Daines,Steve Daines,Republican,sen,MT,D000618,SteveDaines
PetersGary Peters (D),$56643389,$20199053,35.66%,Raised over $100k,D,Democrat,56643389,20199053,35.66,Gary Peters,88.0,auto,Gary,Peters,Gary C. Peters,Democrat,sen,MI,P000595,SenGaryPeters
YakymRudy Yakym (R),$3578624,$1264452,35.33%,Raised over $100k,R,Republican,3578624,1264452,35.33,Rudy Yakym,83.3,auto,Rudy,Yakym,Rudy Yakym III,Republican,rep,IN,Y000067,RepRudyYakym
DeMonica De La Cruz (R),$7884300,$2781246,35.28%,Raised over $100k,R,Republican,7884300,2781246,35.28,Thelma Drake,100.0,manual,,,Thelma Drake,Republican,rep,VA,D000605,
CottonTom Cotton (R),$16312092,$5717628,35.05%,Raised over $100k,R,Republican,16312092,5717628,35.05,Tom Cotton,100.0,auto,Tom,Cotton,Tom Cotton,Republican,sen,AR,C001095,SenTomCotton
EllzeyJake Ellzey (R),$6480006,$2262349,34.91%,Raised over $100k,R,Republican,6480006,2262349,34.91,Jake Ellzey,100.0,auto,Jake,Ellzey,Jake Ellzey,Republican,rep,TX,E000071,RepEllzey
StabenowDebbie Stabenow (D),$4879808,$1691385,34.66%,Raised over $100k,D,Democrat,4879808,1691385,34.66,Debbie Stabenow,100.0,manual,,,Debbie Stabenow,Democrat,sen,MI,S000770,
MillsCory Mills (R),$1609397,$556808,34.60%,Raised over $100k,R,Republican,1609397,556808,34.6,Cory Mills,100.0,auto,Cory,Mills,Cory Mills,Republican,rep,FL,M001216,RepMillsPress
MastBrian Mast (R),$3974043,$1366501,34.39%,Raised over $100k,R,Republican,3974043,1366501,34.39,Brian Mast,87.0,auto,Brian,Mast,Brian J. Mast,Republican,rep,FL,M001199,RepBrianMast
HickenlooperJohn Hickenlooper (D),$45083518,$15427930,34.22%,Raised over $100k,D,Democrat,45083518,15427930,34.22,John Hickenlooper,91.9,auto,John,Hickenlooper,John W. Hickenlooper,Democrat,sen,CO,H000273,SenatorHick
PorterKatie Porter (D),$32119165,$10902528,33.94%,Raised over $100k,D,Democrat,32119165,10902528,33.94,Katie Porter,100.0,manual,,,Katie Porter,Democrat,rep,CA,P000618,
PeltolaMary Peltola (D),$13210877,$4395102,33.27%,Raised over $100k,D,Democrat,13210877,4395102,33.27,Mary Sattler Peltola,100.0,manual,,,Mary Sattler Peltola,Democrat,rep,AK,P000619,
SlotkinElissa Slotkin (D),$51168064,$16845959,32.92%,Raised over $100k,D,Democrat,51168064,16845959,32.92,Elissa Slotkin,100.0,auto,Elissa,Slotkin,Elissa Slotkin,Democrat,sen,MI,S001208,RepSlotkin
SmithTina Smith (D),$19239090,$6330821,32.91%,Raised over $100k,D,Democrat,19239090,6330821,32.91,Tina Smith,100.0,auto,Tina,Smith,Tina Smith,Democrat,sen,MN,S001203,SenTinaSmith
BushCori Bush (D),$3931525,$1288772,32.78%,Raised over $100k,D,Democrat,3931525,1288772,32.78,Wesley Bell,100.0,manual,,,Wesley Bell,Democrat,rep,MO,B001324,RepWesleyBellMO
JohnsonRon Johnson (R),$40097440,$13016509,32.46%,Raised over $100k,R,Republican,40097440,13016509,32.46,Ron Johnson,100.0,auto,Ron,Johnson,Ron Johnson,Republican,sen,WI,J000293,SenRonJohnson
JacksonJeff Jackson (D),$768284,$249285,32.45%,Raised over $100k,D,Democrat,768284,249285,32.45,Jeff Jackson,100.0,manual,,,Jeff Jackson,Democrat,rep,NC,J000308,
ReschenthalerGuy Reschenthaler (R),$4327277,$1380397,31.90%,Raised over $100k,R,Republican,4327277,1380397,31.9,Guy Reschenthaler,100.0,auto,Guy,Reschenthaler,Guy Reschenthaler,Republican,rep,PA,R000610,GReschenthaler
TlaibRashida Tlaib (D),$8361649,$2660970,31.82%,Raised over $100k,D,Democrat,8361649,2660970,31.82,Rashida Tlaib,100.0,auto,Rashida,Tlaib,Rashida Tlaib,Democrat,rep,MI,T000481,RepRashida
BaldwinTammy Baldwin (D),$58515037,$18576727,31.75%,Raised over $100k,D,Democrat,58515037,18576727,31.75,Tammy Baldwin,100.0,auto,Tammy,Baldwin,Tammy Baldwin,Democrat,sen,WI,B001230,SenatorBaldwin
TesterJon Tester (D),$96070839,$30441610,31.69%,Raised over $100k,D,Democrat,96070839,30441610,31.69,Jon Tester,100.0,manual,,,Jon Tester,Democrat,sen,MT,T000464,
ErnstJoni Ernst (R),$32364554,$10214624,31.56%,Raised over $100k,R,Republican,32364554,10214624,31.56,Joni Ernst,100.0,auto,Joni,Ernst,Joni Ernst,Republican,sen,IA,E000295,SenJoniErnst
