Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
FitzgeraldScott Fitzgerald (R),$1308311,$95942,7.33%,Raised over $100k,R,Republican,1308311,95942,7.33,Scott Fitzgerald,100.0,auto,Scott,Fitzgerald,Scott Fitzgerald,Republican,rep,WI,F000471,RepFitzgerald,Q3,full_house
CiscomaniJuan Ciscomani (R),$6876505,$478641,6.96%,Raised over $100k,R,Republican,6876505,478641,6.96,Juan Ciscomani,100.0,auto,Juan,Ciscomani,Juan Ciscomani,Republican,rep,AZ,C001133,RepCiscomani,Q3,full_house
TitusDina Titus (D),$2427313,$167477,6.90%,Raised over $100k,D,Democrat,2427313,167477,6.9,Dina Titus,100.0,auto,Dina,Titus,Dina Titus,Democrat,rep,NV,T000468,RepDinaTitus,Q3,full_house
CastorKathy Castor (D),$1162514,$80042,6.89%,Raised over $100k,D,Democrat,1162514,80042,6.89,Kathy Castor,100.0,auto,Kathy,Castor,Kathy Castor,Democrat,rep,FL,C001066,USRepKCastor,Q3,full_house
KusterAnn Kuster (D),$1460525,$99210,6.79%,Raised over $100k,D,Democrat,1460525,99210,6.79,Ann M. Kuster,100.0,manual,,,Ann M. Kuster,Democrat,rep,NH,K000382,RepAnnieKuster,Q3,full_house
TokudaJill Tokuda (D),$961307,$65216,6.78%,Raised over $100k,D,Democrat,961307,65216,6.78,Jill Tokuda,88.0,auto,Jill,Tokuda,Jill N. Tokuda,Democrat,rep,HI,T000487,RepJillTokuda,Q3,full_house
CalvertKen Calvert (R),$8016040,$541157,6.75%,Raised over $100k,R,Republican,8016040,541157,6.75,Ken Calvert,100.0,auto,Ken,Calvert,Ken Calvert,Republican,rep,CA,C000059,KenCalvert,Q3,full_house
RuizRaul Ruiz (D),$2469042,$163127,6.61%,Raised over $100k,D,Democrat,2469042,163127,6.61,Raul Ruiz,100.0,auto,Raul,Ruiz,Raul Ruiz,Democrat,rep,CA,R000599,RepRaulRuizMD,Q3,full_house
WalbergTim Walberg (R),$1581866,$104443,6.60%,Raised over $100k,R,Republican,1581866,104443,6.6,Tim Walberg,100.0,auto,Tim,Walberg,Tim Walberg,Republican,rep,MI,W000798,RepWalberg,Q3,full_house
RossDeborah Ross (D),$1916680,$124164,6.48%,Raised over $100k,D,Democrat,1916680,124164,6.48,Deborah Ross,88.9,auto,Deborah,Ross,Deborah K. Ross,Democrat,rep,NC,R000305,RepDeborahRoss,Q3,full_house
BeyerDon Beyer (D),$1924972,$123922,6.44%,Raised over $100k,D,Democrat,1924972,123922,6.44,"Donald S. Beyer, Jr.",100.0,manual,,,"Donald S. Beyer, Jr.",Democrat,rep,VA,B001292,RepDonBeyer,Q3,full_house
WilsonJoe Wilson (R),$875967,$56230,6.42%,Raised over $100k,R,Republican,875967,56230,6.42,Joe Wilson,100.0,auto,Joe,Wilson,Joe Wilson,Republican,rep,SC,W000795,RepJoeWilson,Q3,full_house
LawlerMike Lawler (R),$8244034,$527131,6.39%,Raised over $100k,R,Republican,8244034,527131,6.39,Mike Lawler,80.0,auto,Michael,Lawler,Michael Lawler,Republican,rep,NY,L000599,RepMikeLawler,Q3,full_house
KhannaRo Khanna (D),$10139203,$647965,6.39%,Raised over $100k,D,Democrat,10139203,647965,6.39,Ro Khanna,100.0,auto,Ro,Khanna,Ro Khanna,Democrat,rep,CA,K000389,RepRoKhanna,Q3,full_house
CohenSteve Cohen (D),$657841,$2949,0.45%,Raised over $100k,D,Democrat,657841,2949,0.45,Steve Cohen,100.0,auto,Steve,Cohen,Steve Cohen,Democrat,rep,TN,C001068,RepCohen,Q1 (lowest),full_house
KustoffDavid Kustoff (R),$2410700,$10759,0.45%,Raised over $100k,R,Republican,2410700,10759,0.45,David Kustoff,100.0,auto,David,Kustoff,David Kustoff,Republican,rep,TN,K000392,RepDavidKustoff,Q1 (lowest),full_house
MillerCarol Miller (R),$1708912,$7411,0.43%,Raised over $100k,R,Republican,1708912,7411,0.43,Carol Miller,88.9,auto,Carol,Miller,Carol D. Miller,Republican,rep,WV,M001205,RepCarolMiller,Q1 (lowest),full_house
GravesGarret Graves (R),$2444756,$9788,0.40%,Raised over $100k,R,Republican,2444756,9788,0.4,Garret Graves,100.0,manual,,,Garret Graves,Republican,rep,LA,G000577,RepGarretGraves,Q1 (lowest),full_house
CorreaLou Correa (D),$1374209,$5236,0.38%,Raised over $100k,D,Democrat,1374209,5236,0.38,Lou Correa,75.0,auto,J.,Correa,J. Luis Correa,Democrat,rep,CA,C001110,RepLouCorrea,Q1 (lowest),full_house
SmithAdrian Smith (R),$1995681,$7209,0.36%,Raised over $100k,R,Republican,1995681,7209,0.36,Adrian Smith,100.0,auto,Adrian,Smith,Adrian Smith,Republican,rep,NE,S001172,RepAdrianSmith,Q1 (lowest),full_house
RutherfordJohn Rutherford (R),$892110,$3058,0.34%,Raised over $100k,R,Republican,892110,3058,0.34,John Rutherford,90.9,auto,John,Rutherford,John H. Rutherford,Republican,rep,FL,R000609,RepRutherfordFL,Q1 (lowest),full_house
FergusonDrew Ferguson (R),$818067,$2593,0.32%,Raised over $100k,R,Republican,818067,2593,0.32,A. Drew Ferguson IV,100.0,manual,,,A. Drew Ferguson IV,Republican,rep,GA,F000465,RepDrewFerguson,Q1 (lowest),full_house
TorresNorma Torres (D),$932869,$2897,0.31%,Raised over $100k,D,Democrat,932869,2897,0.31,Norma Torres,88.9,auto,Norma,Torres,Norma J. Torres,Democrat,rep,CA,T000474,NormaJTorres,Q1 (lowest),full_house
CostaJim Costa (D),$1680778,$4980,0.30%,Raised over $100k,D,Democrat,1680778,4980,0.3,Jim Costa,100.0,auto,Jim,Costa,Jim Costa,Democrat,rep,CA,C001059,RepJimCosta,Q1 (lowest),full_house
CardenasTony Cardenas (D),$591968,$1680,0.28%,Raised over $100k,D,Democrat,591968,1680,0.28,Tony Cárdenas,100.0,manual,,,Tony Cárdenas,Democrat,rep,CA,C001097,RepCardenas,Q1 (lowest),full_house
JoyceJohn Joyce (R),$1630617,$4164,0.26%,Raised over $100k,R,Republican,1630617,4164,0.26,John Joyce,100.0,auto,John,Joyce,John Joyce,Republican,rep,PA,J000302,RepJohnJoyce,Q1 (lowest),full_house
